# Protocol: COPUS
# Observation Started: 2025-01-16 14:30:25
# Total Duration: 4560 seconds
# Generated by: GORP v1.0

time_s,category,response,value
120,Engagement,Medium,2
120,Student,Listening,1
120,Instructor,Administration,1
240,Instructor,Lecturing,1
240,Engagement,Medium,2
240,Student,Listening,1
240,Instructor,Posing Question,1
240,Student,Answering Question,1
360,Engagement,Low,1
360,Instructor,Lecturing,1
360,Instructor,Posing Question,1
360,Student,Listening,1
360,Student,Answering Question,1
480,Instructor,Lecturing,1
480,Engagement,Medium,2
480,Student,Listening,1
600,Student,Listening,1
600,Engagement,Low,1
600,Instructor,Lecturing,1
720,Student,Listening,1
720,Instructor,Lecturing,1
720,Engagement,Medium,2
721,Comment,Comment,rosalind franklin
840,Instructor,Lecturing,1
840,Engagement,Medium,2
840,Student,Listening,1
866,Comment,Comment,back to lecture
960,Student,Listening,1
960,Instructor,Lecturing,1
960,Engagement,Low,1
1080,Student,Listening,1
1080,Engagement,Low,1
1080,Instructor,Lecturing,1
1200,Student,Listening,1
1200,Instructor,Lecturing,1
1200,Engagement,Low,1
1320,Student,Listening,1
1320,Engagement,Low,1
1320,Instructor,Lecturing,1
1320,Instructor,Posing Question,1
1320,Student,Asking Question,1
1440,Engagement,Low,1
1440,Instructor,Lecturing,1
1440,Student,Listening,1
1560,Student,Listening,1
1560,Instructor,Lecturing,1
1560,Engagement,Low,1
1560,Student,Asking Question,1
1560,Instructor,Posing Question,1
1680,Student,Listening,1
1680,Instructor,Lecturing,1
1680,Engagement,Medium,2
1800,Student,Listening,1
1800,Instructor,Lecturing,1
1800,Engagement,Low,1
1920,Student,Listening,1
1920,Engagement,Low,1
1920,Instructor,Lecturing,1
2040,Student,Listening,1
2040,Engagement,Low,1
2040,Instructor,Lecturing,1
2040,Instructor,Posing Question,1
2040,Student,Asking Question,1
2160,Student,Listening,1
2160,Engagement,Low,1
2160,Instructor,Lecturing,1
2280,Student,Listening,1
2280,Instructor,Lecturing,1
2280,Engagement,Medium,2
2400,Student,Listening,1
2400,Instructor,Lecturing,1
2400,Engagement,Low,1
2520,Student,Listening,1
2520,Instructor,Lecturing,1
2520,Engagement,Low,1
2640,Student,Listening,1
2640,Instructor,Lecturing,1
2640,Engagement,Medium,2
2760,Student,Listening,1
2760,Instructor,Lecturing,1
2760,Engagement,Medium,2
2760,Student,Asking Question,1
2760,Instructor,Answering Question,1
2880,Student,Listening,1
2880,Instructor,Lecturing,1
2880,Student,Asking Question,1
2880,Instructor,Answering Question,1
2880,Engagement,Medium,2
2927,Comment,Comment,dna synthesis video
3000,Instructor,Demonstrating,1
3000,Student,Listening,1
3000,Engagement,Medium,2
3000,Instructor,Lecturing,1
3099,Comment,Comment,more synthesis videos
3120,Instructor,Demonstrating,1
3120,Instructor,Lecturing,1
3120,Student,Listening,1
3120,Engagement,Low,1
3240,Engagement,Medium,2
3240,Instructor,Demonstrating,1
3240,Instructor,Lecturing,1
3240,Student,Listening,1
3360,Student,Listening,1
3360,Instructor,Lecturing,1
3360,Engagement,Low,1
3480,Instructor,Lecturing,1
3480,Student,Listening,1
3480,Engagement,Medium,2
3600,Instructor,Lecturing,1
3600,Student,Listening,1
3600,Engagement,Low,1
3720,Student,Listening,1
3720,Instructor,Lecturing,1
3720,Engagement,Low,1
3840,Instructor,Lecturing,1
3840,Engagement,Low,1
3840,Student,Listening,1
3960,Instructor,Lecturing,1
3960,Student,Listening,1
3960,Engagement,Low,1
4080,Student,Listening,1
4080,Instructor,Lecturing,1
4080,Engagement,Medium,2
4080,Instructor,Posing Question,1
4080,Student,Asking Question,1
4127,Comment,Comment,discussing next lab
4200,Instructor,Lecturing,1
4200,Student,Listening,1
4200,Engagement,Low,1
4320,Student,Listening,1
4320,Instructor,Lecturing,1
4320,Instructor,Posing Question,1
4320,Student,Answering Question,1
4320,Engagement,Medium,2
4416,Comment,Comment,"discussing next week, etc."
4440,Instructor,Lecturing,1
4440,Student,Listening,1
4440,Instructor,Administration,1
4440,Engagement,Medium,2
4493,Comment,Comment,taking attendance
4560,Instructor,Administration,1
4560,Engagement,High,3
