# Protocol: COPUS
# Observation Started: 2025-01-16 14:30:25
# Total Duration: 4560 seconds
# Generated by: GORP v1.0

time_s,category,response,value
120,Engagement,Medium,2
120,Student,Listening,1
120,Instructor,Administration,1
240,Instructor,Lecturing,1
240,Engagement,Medium,2
240,Student,Listening,1
240,Instructor,"Posing Question",1
240,Student,"Answering Question",1
360,Engagement,Low,1
360,Instructor,Lecturing,1
360,Instructor,"Posing Question",1
360,Student,Listening,1
360,Student,"Answering Question",1
480,Instructor,Lecturing,1
480,Engagement,Medium,2
480,Student,Listening,1
600,Student,Listening,1
600,Engagement,Low,1
600,Instructor,Lecturing,1
720,Student,Listening,1
720,Instructor,Lecturing,1
720,Engagement,Medium,2
720.3,Comment,Comment,rosalind franklin
840,Instructor,Lecturing,1
840,Engagement,Medium,2
840,Student,Listening,1
866.2,Comment,Comment,back to lecture
960,Student,Listening,1
960,Instructor,Lecturing,1
960,Engagement,Low,1
1080,Student,Listening,1
1080,Engagement,Low,1
1080,Instructor,Lecturing,1
1200,Student,Listening,1
1200,Instructor,Lecturing,1
1200,Engagement,Low,1
1320,Student,Listening,1
1320,Engagement,Low,1
1320,Instructor,Lecturing,1
1320,Instructor,"Posing Question",1
1320,Student,"Asking Question",1
1440,Engagement,Low,1
1440,Instructor,Lecturing,1
1440,Student,Listening,1
1560,Student,Listening,1
1560,Instructor,Lecturing,1
1560,Engagement,Low,1
1560,Student,"Asking Question",1
1560,Instructor,"Posing Question",1
1680,Student,Listening,1
1680,Instructor,Lecturing,1
1680,Engagement,Medium,2
1800.1,Student,Listening,1
1800.1,Instructor,Lecturing,1
1800.1,Engagement,Low,1
1920.1,Student,Listening,1
1920.1,Engagement,Low,1
1920.1,Instructor,Lecturing,1
2040.1,Student,Listening,1
2040.1,Engagement,Low,1
2040.1,Instructor,Lecturing,1
2040.1,Instructor,"Posing Question",1
2040.1,Student,"Asking Question",1
2160.1,Student,Listening,1
2160.1,Engagement,Low,1
2160.1,Instructor,Lecturing,1
2280.1,Student,Listening,1
2280.1,Instructor,Lecturing,1
2280.1,Engagement,Medium,2
2400.1,Student,Listening,1
2400.1,Instructor,Lecturing,1
2400.1,Engagement,Low,1
2520.1,Student,Listening,1
2520.1,Instructor,Lecturing,1
2520.1,Engagement,Low,1
2640.1,Student,Listening,1
2640.1,Instructor,Lecturing,1
2640.1,Engagement,Medium,2
2760.1,Student,Listening,1
2760.1,Instructor,Lecturing,1
2760.1,Engagement,Medium,2
2760.1,Student,"Asking Question",1
2760.1,Instructor,"Answering Question",1
2880.1,Student,Listening,1
2880.1,Instructor,Lecturing,1
2880.1,Student,"Asking Question",1
2880.1,Instructor,"Answering Question",1
2880.1,Engagement,Medium,2
2927.4,Comment,Comment,dna synthesis video
3000.1,Instructor,Demonstrating,1
3000.1,Student,Listening,1
3000.1,Engagement,Medium,2
3000.1,Instructor,Lecturing,1
3098.8,Comment,Comment,more synthesis videos
3120.1,Instructor,Demonstrating,1
3120.1,Instructor,Lecturing,1
3120.1,Student,Listening,1
3120.1,Engagement,Low,1
3240.1,Engagement,Medium,2
3240.1,Instructor,Demonstrating,1
3240.1,Instructor,Lecturing,1
3240.1,Student,Listening,1
3360.1,Student,Listening,1
3360.1,Instructor,Lecturing,1
3360.1,Engagement,Low,1
3480.1,Instructor,Lecturing,1
3480.1,Student,Listening,1
3480.1,Engagement,Medium,2
3600.1,Instructor,Lecturing,1
3600.1,Student,Listening,1
3600.1,Engagement,Low,1
3720.1,Student,Listening,1
3720.1,Instructor,Lecturing,1
3720.1,Engagement,Low,1
3840.1,Instructor,Lecturing,1
3840.1,Engagement,Low,1
3840.1,Student,Listening,1
3960.1,Instructor,Lecturing,1
3960.1,Student,Listening,1
3960.1,Engagement,Low,1
4080.1,Student,Listening,1
4080.1,Instructor,Lecturing,1
4080.1,Engagement,Medium,2
4080.1,Instructor,"Posing Question",1
4080.1,Student,"Asking Question",1
4126.9,Comment,Comment,discussing next lab
4200.1,Instructor,Lecturing,1
4200.1,Student,Listening,1
4200.1,Engagement,Low,1
4320.1,Student,Listening,1
4320.1,Instructor,Lecturing,1
4320.1,Instructor,"Posing Question",1
4320.1,Student,"Answering Question",1
4320.1,Engagement,Medium,2
4415.7,Comment,Comment,"discussing next week, etc."
4440.2,Instructor,Lecturing,1
4440.2,Student,Listening,1
4440.2,Instructor,Administration,1
4440.2,Engagement,Medium,2
4493.3,Comment,Comment,taking attendance
4560,Instructor,Administration,1
4560,Engagement,High,3
