# Protocol: COPUS (test)
# Observation Started: 2025-10-21 10:40:54
# Total Duration: 4905.6 seconds
# Generated by: REFLECT v1.0

time_s,category,response,value
120.0,Student,Waiting,1
120.0,Instructor,1 on 1,1
120.0,Instructor,Lecturing,1
120.0,Student,Listening,1
120.0,Engagement,Medium,2
240.0,Engagement,Low,1
240.0,Student,Waiting,1
240.0,Instructor,1 on 1,1
360.0,Instructor,1 on 1,1
360.0,Student,Waiting,1
360.0,Instructor,Lecturing,1
360.0,Student,Listening,1
360.0,Engagement,Medium,2
480.0,Instructor,Lecturing,1
480.0,Student,Listening,1
480.0,Engagement,Medium,2
600.0,Student,Listening,1
600.0,Instructor,Lecturing,1
600.0,Engagement,Low,1
720.0,Student,Listening,1
720.0,Instructor,Lecturing,1
720.0,Engagement,Medium,2
840.0,Student,Listening,1
840.0,Instructor,Lecturing,1
840.0,Engagement,Low,1
840.0,Student,"Answering
Question",1
840.0,Instructor,"Posing
Question",1
960.0,Instructor,"Posing
Question",1
960.0,Student,"Answering
Question",1
960.0,Engagement,Low,1
1080.0,Instructor,Lecturing,1
1080.0,Student,Listening,1
1080.0,Engagement,Medium,2
1200.0,Instructor,Lecturing,1
1200.0,Student,Listening,1
1200.0,Engagement,Low,1
1320.1,Student,Listening,1
1320.1,Instructor,Lecturing,1
1320.1,Engagement,Low,1
1440.1,Engagement,Low,1
1440.1,Instructor,Lecturing,1
1440.1,Student,Listening,1
1560.1,Instructor,Lecturing,1
1560.1,Student,Listening,1
1560.1,Engagement,Medium,2
1680.1,Student,Listening,1
1680.1,Instructor,Lecturing,1
1680.1,Engagement,Low,1
1800.1,Instructor,Lecturing,1
1800.1,Instructor,"Posing
Question",1
1800.1,Student,Listening,1
1800.1,Student,"Answering
Question",1
1800.1,Engagement,Low,1
1920.1,Instructor,Lecturing,1
1920.1,Student,Listening,1
1920.1,Instructor,1 on 1,1
1920.1,Student,Waiting,1
1920.1,Engagement,Medium,2
2040.1,Instructor,Lecturing,1
2040.1,Student,Listening,1
2040.1,Engagement,Medium,2
2160.1,Instructor,Lecturing,1
2160.1,Student,Listening,1
2160.1,Engagement,Low,1
2280.1,Instructor,"Posing
Question",1
2280.1,Instructor,Lecturing,1
2280.1,Student,Listening,1
2280.1,Student,"Answering
Question",1
2280.1,Instructor,Demonstrating,1
2280.1,Engagement,High,3
2354.5,Comment,Comment,doing transcription/translation exercise on the board
2400.1,Instructor,Demonstrating,1
2400.1,Instructor,"Posing
Question",1
2400.1,Student,"Answering
Question",1
2400.1,Engagement,Medium,2
2400.1,Student,"Discussing
Question",1
2520.1,Instructor,Demonstrating,1
2520.1,Instructor,"Posing
Question",1
2520.1,Student,"Answering
Question",1
2520.1,Engagement,Medium,2
2640.1,Instructor,Demonstrating,1
2640.1,Engagement,Medium,2
2640.1,Student,"Answering
Question",1
2640.1,Instructor,"Asking
Clicker
Question",1
2760.1,Instructor,"Posing
Question",1
2760.1,Student,Listening,1
2760.1,Instructor,Lecturing,1
2760.1,Engagement,Low,1
2880.1,Instructor,Lecturing,1
2880.1,Student,Listening,1
2880.1,Engagement,Medium,2
3000.1,Engagement,Medium,2
3000.1,Instructor,"Posing
Question",1
3000.1,Instructor,Lecturing,1
3000.1,Student,Listening,1
3000.1,Student,"Answering
Question",1
3120.1,Instructor,Lecturing,1
3120.1,Student,Listening,1
3120.1,Engagement,Medium,2
3240.1,Instructor,Lecturing,1
3240.1,Instructor,"Posing
Question",1
3240.1,Student,Listening,1
3240.1,Student,"Answering
Question",1
3240.1,Engagement,Low,1
3240.1,Instructor,1 on 1,1
3360.1,Instructor,Lecturing,1
3360.1,Engagement,Medium,2
3360.1,Student,Listening,1
3480.1,Student,Listening,1
3480.1,Instructor,Lecturing,1
3480.1,Engagement,Medium,2
3600.1,Instructor,Lecturing,1
3600.1,Student,Listening,1
3600.1,Student,"Answering
Question",1
3600.1,Instructor,"Posing
Question",1
3600.1,Engagement,Low,1
3720.1,Engagement,Low,1
3720.1,Instructor,Lecturing,1
3720.1,Student,Listening,1
3840.1,Instructor,Lecturing,1
3840.1,Student,Listening,1
3840.1,Engagement,Medium,2
3840.1,Instructor,"Posing
Question",1
3840.1,Student,"Answering
Question",1
3960.1,Instructor,Lecturing,1
3960.1,Student,Listening,1
3960.1,Engagement,Medium,2
3989.9,Comment,Comment,covid vaccine application demonstration
4080.1,Instructor,Demonstrating,1
4080.1,Student,Listening,1
4080.1,Engagement,High,3
4200.1,Engagement,High,3
4200.1,Instructor,Lecturing,1
4200.1,Student,Listening,1
4320.1,Instructor,Lecturing,1
4320.1,Engagement,High,3
4320.1,Student,Listening,1
4324.6,Comment,Comment,phone question
4440.2,Instructor,"Asking
Clicker
Question",1
4440.2,Engagement,High,3
4440.2,Student,"Answering
Question",1
4440.2,Instructor,Lecturing,1
4440.2,Student,Listening,1
4503.1,Comment,Comment,francis crick central dogma
4560.2,Instructor,Lecturing,1
4560.2,Student,Listening,1
4560.2,Engagement,Medium,2
4630.6,Comment,Comment,clicker Q on central dogma
4680.1,Engagement,High,3
4680.1,Instructor,"Asking
Clicker
Question",1
4680.1,Student,"Answering
Question",1
4800.1,Instructor,Lecturing,1
4800.1,Student,Listening,1
4800.1,Engagement,Medium,2
4876.5,Comment,Comment,clicker asking if vacines cause genetic modification.
4920.0,Engagement,Medium,2
4920.0,Instructor,"Asking
Clicker
Question",1
4920.0,Student,"Answering
Question",1
4920.0,Instructor,Administration,1
