# Protocol: COPUS (test),,,
# Observation Started: 2025-10-21 10:40:54,,,
# Total Duration: 4905.6 seconds,,,
# Generated by: REFLECT v1.0,,,
,,,
time_s,category,response,value
120,Student,Waiting,1
120,Instructor,1 on 1,1
120,Instructor,Lecturing,1
120,Student,Listening,1
120,Engagement,Medium,2
240,Engagement,Low,1
240,Student,Waiting,1
240,Instructor,1 on 1,1
360,Instructor,1 on 1,1
360,Student,Waiting,1
360,Instructor,Lecturing,1
360,Student,Listening,1
360,Engagement,Medium,2
480,Instructor,Lecturing,1
480,Student,Listening,1
480,Engagement,Medium,2
600,Student,Listening,1
600,Instructor,Lecturing,1
600,Engagement,Low,1
720,Student,Listening,1
720,Instructor,Lecturing,1
720,Engagement,Medium,2
840,Student,Listening,1
840,Instructor,Lecturing,1
840,Engagement,Low,1
840,Student,Answering Question,1
840,Instructor,Posing Question,1
960,Instructor,Posing Question,1
960,Student,Answering Question,1
960,Engagement,Low,1
1080,Instructor,Lecturing,1
1080,Student,Listening,1
1080,Engagement,Medium,2
1200,Instructor,Lecturing,1
1200,Student,Listening,1
1200,Engagement,Low,1
1320,Student,Listening,1
1320,Instructor,Lecturing,1
1320,Engagement,Low,1
1440,Engagement,Low,1
1440,Instructor,Lecturing,1
1440,Student,Listening,1
1560,Instructor,Lecturing,1
1560,Student,Listening,1
1560,Engagement,Medium,2
1680,Student,Listening,1
1680,Instructor,Lecturing,1
1680,Engagement,Low,1
1800,Instructor,Lecturing,1
1800,Instructor,Posing Question,1
1800,Student,Listening,1
1800,Student,Answering Question,1
1800,Engagement,Low,1
1920,Instructor,Lecturing,1
1920,Student,Listening,1
1920,Instructor,1 on 1,1
1920,Student,Waiting,1
1920,Engagement,Medium,2
2040,Instructor,Lecturing,1
2040,Student,Listening,1
2040,Engagement,Medium,2
2160,Instructor,Lecturing,1
2160,Student,Listening,1
2160,Engagement,Low,1
2280,Instructor,Posing Question,1
2280,Instructor,Lecturing,1
2280,Student,Listening,1
2280,Student,Answering Question,1
2280,Instructor,Demonstrating,1
2280,Engagement,High,3
2355,Comment,Comment,doing transcription/translation exercise on the board
2400,Instructor,Demonstrating,1
2400,Instructor,Posing Question,1
2400,Student,Answering Question,1
2400,Engagement,Medium,2
2400,Student,Discussing Question,1
2520,Instructor,Demonstrating,1
2520,Instructor,Posing Question,1
2520,Student,Answering Question,1
2520,Engagement,Medium,2
2640,Instructor,Demonstrating,1
2640,Engagement,Medium,2
2640,Student,Answering Question,1
2640,Instructor,Asking Clicker Question,1
2760,Instructor,Posing Question,1
2760,Student,Listening,1
2760,Instructor,Lecturing,1
2760,Engagement,Low,1
2880,Instructor,Lecturing,1
2880,Student,Listening,1
2880,Engagement,Medium,2
3000,Engagement,Medium,2
3000,Instructor,Posing Question,1
3000,Instructor,Lecturing,1
3000,Student,Listening,1
3000,Student,Answering Question,1
3120,Instructor,Lecturing,1
3120,Student,Listening,1
3120,Engagement,Medium,2
3240,Instructor,Lecturing,1
3240,Instructor,Posing Question,1
3240,Student,Listening,1
3240,Student,Answering Question,1
3240,Engagement,Low,1
3240,Instructor,1 on 1,1
3360,Instructor,Lecturing,1
3360,Engagement,Medium,2
3360,Student,Listening,1
3480,Student,Listening,1
3480,Instructor,Lecturing,1
3480,Engagement,Medium,2
3600,Instructor,Lecturing,1
3600,Student,Listening,1
3600,Student,Answering Question,1
3600,Instructor,Posing Question,1
3600,Engagement,Low,1
3720,Engagement,Low,1
3720,Instructor,Lecturing,1
3720,Student,Listening,1
3840,Instructor,Lecturing,1
3840,Student,Listening,1
3840,Engagement,Medium,2
3840,Instructor,Posing Question,1
3840,Student,Answering Question,1
3960,Instructor,Lecturing,1
3960,Student,Listening,1
3960,Engagement,Medium,2
3990,Comment,Comment,covid vaccine application demonstration
4080,Instructor,Demonstrating,1
4080,Student,Listening,1
4080,Engagement,High,3
4200,Engagement,High,3
4200,Instructor,Lecturing,1
4200,Student,Listening,1
4320,Instructor,Lecturing,1
4320,Engagement,High,3
4320,Student,Listening,1
4325,Comment,Comment,phone question
4440,Instructor,Asking Clicker Question,1
4440,Engagement,High,3
4440,Student,Answering Question,1
4440,Instructor,Lecturing,1
4440,Student,Listening,1
4503,Comment,Comment,francis crick central dogma
4560,Instructor,Lecturing,1
4560,Student,Listening,1
4560,Engagement,Medium,2
4631,Comment,Comment,clicker Q on central dogma
4680,Engagement,High,3
4680,Instructor,Asking Clicker Question,1
4680,Student,Answering Question,1
4800,Instructor,Lecturing,1
4800,Student,Listening,1
4800,Engagement,Medium,2
4877,Comment,Comment,clicker asking if vacines cause genetic modification.
4920,Engagement,Medium,2
4920,Instructor,Asking Clicker Question,1
4920,Student,Answering Question,1
4920,Instructor,Administration,1
