# Protocol: COPUS (test),,,
# Observation Started: 2025-11-18 10:49:13,,,
# Total Duration: 4180.6 seconds,,,
# Generated by: REFLECT v1.0,,,
,,,
time_s,category,response,value
120,Student,Listening,1
120,Instructor,Lecturing,1
120,Instructor,Posing Question,1
120,Instructor,Asking Clicker Question,1
120,Student,Answering Question,1
120,Engagement,Medium,2
240,Instructor,Lecturing,1
240,Student,Listening,1
240,Instructor,Asking Clicker Question,1
240,Instructor,Posing Question,1
240,Student,Answering Question,1
240,Engagement,Medium,2
360,Instructor,Lecturing,1
360,Student,Listening,1
360,Instructor,Posing Question,1
360,Instructor,Asking Clicker Question,1
360,Student,Answering Question,1
360,Engagement,Medium,2
480,Instructor,Lecturing,1
480,Instructor,Posing Question,1
480,Student,Listening,1
480,Student,Answering Question,1
480,Engagement,Medium,2
600,Instructor,Lecturing,1
600,Student,Listening,1
600,Engagement,Medium,2
600,Instructor,Real-time Writing,1
720,Instructor,Lecturing,1
720,Instructor,Real-time Writing,1
720,Engagement,Medium,2
720,Student,Listening,1
840,Instructor,Lecturing,1
840,Engagement,Medium,2
840,Student,Listening,1
840,Instructor,Real-time Writing,1
960,Instructor,Lecturing,1
960,Student,Listening,1
960,Engagement,Medium,2
1080,Instructor,Lecturing,1
1080,Student,Listening,1
1080,Instructor,Posing Question,1
1080,Engagement,Medium,2
1200,Instructor,Lecturing,1
1200,Student,Listening,1
1200,Engagement,Medium,2
1320,Instructor,Lecturing,1
1320,Instructor,Asking Clicker Question,1
1320,Instructor,Posing Question,1
1320,Student,Listening,1
1320,Student,Answering Question,1
1440,Instructor,Lecturing,1
1440,Student,Listening,1
1440,Engagement,Medium,2
1560,Instructor,Lecturing,1
1560,Engagement,Medium,2
1560,Student,Listening,1
1680,Instructor,Lecturing,1
1680,Engagement,Medium,2
1680,Student,Listening,1
1800,Instructor,Lecturing,1
1800,Student,Listening,1
1920,Instructor,Lecturing,1
1920,Engagement,Medium,2
1920,Student,Listening,1
2040,Instructor,Lecturing,1
2040,Engagement,Medium,2
2040,Student,Listening,1
2160,Instructor,Lecturing,1
2160,Student,Listening,1
2160,Engagement,Medium,2
2280,Instructor,Lecturing,1
2280,Engagement,Medium,2
2280,Student,Listening,1
2400,Instructor,Lecturing,1
2400,Student,Asking Question,1
2400,Student,Listening,1
2400,Engagement,Medium,2
2400,Student,Answering Question,1
2400,Instructor,Answering Question,1
2520,Instructor,Answering Question,1
2520,Instructor,Lecturing,1
2520,Engagement,Medium,2
2520,Student,Listening,1
2640,Instructor,Lecturing,1
2640,Engagement,Medium,2
2640,Student,Listening,1
2640,Student,Answering Question,1
2640,Instructor,Asking Clicker Question,1
2640,Instructor,Stretch it,1
2760,Instructor,Lecturing,1
2760,Engagement,Medium,2
2760,Student,Listening,1
2880,Instructor,Lecturing,1
2880,Student,Listening,1
2880,Student,Group Activities,1
2880,Instructor,Posing Question,1
2880,Engagement,High,3
2880,Student,Thinking/Problem Solving,1
3000,Engagement,High,3
3000,Instructor,Real-time Writing,1
3000,Student,Group Activities,1
3000,Student,Thinking/Problem Solving,1
3120,Instructor,Posing Question,1
3120,Engagement,High,3
3120,Student,Class Discussion,1
3120,Student,Answering Question,1
3240,Instructor,Lecturing,1
3240,Student,Listening,1
3240,Instructor,Posing Question,1
3240,Engagement,Medium,2
3240,Student,Answering Question,1
3240,Student,Class Discussion,1
3360,Instructor,Lecturing,1
3360,Student,Listening,1
3360,Instructor,Posing Question,1
3360,Engagement,Medium,2
3360,Student,Answering Question,1
3480,Student,Listening,1
3480,Engagement,Medium,2
3480,Instructor,Lecturing,1
3600,Instructor,Lecturing,1
3600,Engagement,Medium,2
3600,Student,Listening,1
3600,Instructor,Posing Question,1
3600,Instructor,Asking Clicker Question,1
3720,Instructor,Lecturing,1
3720,Engagement,Medium,2
3720,Student,Listening,1
3960,Instructor,Lecturing,1
3960,Engagement,Medium,2
3960,Student,Listening,1
4080,Instructor,Lecturing,1
4080,Student,Listening,1
4080,Engagement,Low,1
4144,Instructor,Lecturing,1
4144,Student,Listening,1
4144,Engagement,Low,1
4144,Instructor,Real-time Writing,1
